# # # epoch (MJD), epoch (seconds TDB), x [km], y [km], z [km], vx [km/s], vy [km/s], vz [km/s]
60392.900000,764501760.009799,-395596.671162,71855.292339,48174.960500,-1.062344,-1.118237,0.522050
60392.920000,764503487.992576,-397690.199678,69321.662630,48960.015860,-1.327741,-1.907247,0.267021
60392.940000,764505215.989916,-399689.745546,65307.924476,48448.137642,-0.782020,-2.492891,-0.946902
60392.960000,764506943.999902,-400319.601811,61501.874565,46218.987117,-0.055005,-1.868987,-1.449486
60392.980000,764508672.007911,-400166.301079,58733.737195,43743.046795,0.185504,-1.379073,-1.386489
60393.000000,764510399.970804,-399770.890306,56620.852852,41463.538620,0.257447,-1.089912,-1.250219
60393.020000,764512127.968001,-399308.101107,54908.304398,39419.206243,0.272573,-0.904492,-1.117914
60393.040000,764513855.990207,-398841.983092,53462.693775,37592.518158,0.264343,-0.775755,-0.998385
60393.060000,764515584.021582,-398400.962596,52207.757354,35962.156190,0.244716,-0.681194,-0.890256
60393.080000,764517311.992723,-397999.950991,51095.658775,34510.729154,0.218565,-0.609054,-0.790919
60393.100000,764519040.026448,-397648.128017,50093.819653,33225.051132,0.187988,-0.552702,-0.698001
60393.120000,764520768.013193,-397352.307204,49178.705040,32095.850972,0.153833,-0.508207,-0.609554
60393.140000,764522496.031934,-397118.429000,48332.015197,31116.804242,0.116281,-0.473187,-0.523939
60393.160000,764524223.971149,-396952.531198,47538.741367,30284.324833,0.075092,-0.446261,-0.439735
60393.180000,764525951.960531,-396861.345900,46785.495847,29597.064933,0.029675,-0.426776,-0.355616
60393.200000,764527680.018878,-396852.946940,46059.516807,29056.011165,-0.020919,-0.414721,-0.270267
60393.220000,764529408.024311,-396937.423948,45347.533442,28664.504496,-0.078102,-0.410785,-0.182305
60393.240000,764531136.023561,-397127.841228,44634.255503,28428.365416,-0.143954,-0.416595,-0.090166
60393.260000,764532863.988272,-397441.688138,43900.432618,28356.334972,-0.221608,-0.435277,0.007961
60393.280000,764534591.965581,-397903.274511,43119.274119,28460.520800,-0.315972,-0.472692,0.114149
