# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60392.040000,764427525.182614,-376453.299567,129361.739769,80688.255357,-0.368456,-0.793131,-0.420884
60392.060000,764429253.182613,-377086.646865,127990.040041,79960.237523,-0.364586,-0.794482,-0.421727
60392.080000,764430981.182613,-377713.300857,126616.018237,79230.770042,-0.360709,-0.795818,-0.422562
60392.100000,764432709.182613,-378333.251147,125239.699413,78499.866245,-0.356826,-0.797140,-0.423390
60392.120000,764434437.182613,-378946.487340,123861.108628,77767.539465,-0.352937,-0.798448,-0.424209
60392.140000,764436165.182612,-379552.999040,122480.270939,77033.803032,-0.349043,-0.799741,-0.425021
60392.160000,764437893.182612,-380152.775851,121097.211405,76298.670279,-0.345142,-0.801020,-0.425826
60392.180000,764439621.182612,-380745.807379,119711.955082,75562.154536,-0.341235,-0.802284,-0.426622
60392.200000,764441349.182611,-381332.083228,118324.527028,74824.269136,-0.337322,-0.803534,-0.427411
60392.220000,764443077.182611,-381911.593001,116934.952302,74085.027409,-0.333404,-0.804769,-0.428192
60392.240000,764444805.182611,-382484.326304,115543.255961,73344.442687,-0.329480,-0.805989,-0.428965
60392.260000,764446533.182610,-383050.272769,114149.463072,72602.528307,-0.325550,-0.807195,-0.429731
60392.280000,764448261.182610,-383609.422666,112753.598883,71859.297725,-0.321615,-0.808386,-0.430488
60392.300000,764449989.182610,-384161.766902,111355.688833,71114.764513,-0.317674,-0.809563,-0.431238
60392.320000,764451717.182610,-384707.296412,109955.758363,70368.942253,-0.313727,-0.810724,-0.431980
60392.340000,764453445.182609,-385246.002133,108553.832917,69621.844523,-0.309775,-0.811872,-0.432715
60392.360000,764455173.182609,-385777.874999,107149.937940,68873.484902,-0.305818,-0.813004,-0.433441
60392.380000,764456901.182609,-386302.905946,105744.098875,68123.876970,-0.301856,-0.814122,-0.434159
60392.400000,764458629.182609,-386821.085908,104336.341166,67373.034307,-0.297888,-0.815225,-0.434870
60392.420000,764460357.182608,-387332.405822,102926.690255,66620.970491,-0.293915,-0.816313,-0.435573
60392.440000,764462085.182608,-387836.856623,101515.171588,65867.699102,-0.289937,-0.817387,-0.436268
60392.460000,764463813.182608,-388334.429246,100101.810607,65113.233719,-0.285954,-0.818446,-0.436955
60392.480000,764465541.182608,-388825.114627,98686.632757,64357.587922,-0.281966,-0.819490,-0.437634
60392.500000,764467269.182607,-389308.903700,97269.663480,63600.775290,-0.277973,-0.820519,-0.438305
60392.520000,764468997.182607,-389785.787627,95850.928278,62842.809440,-0.273976,-0.821533,-0.438969
60392.540000,764470725.182607,-390255.758467,94430.452878,62083.704138,-0.269973,-0.822533,-0.439624
60392.560000,764472453.182606,-390718.808508,93008.263066,61323.473187,-0.265966,-0.823517,-0.440271
60392.580000,764474181.182606,-391174.930035,91584.384626,60562.130392,-0.261954,-0.824487,-0.440911
60392.600000,764475909.182606,-391624.115334,90158.843344,59799.689555,-0.257937,-0.825442,-0.441542
60392.620000,764477637.182606,-392066.356692,88731.665004,59036.164480,-0.253916,-0.826382,-0.442166
60392.640000,764479365.182605,-392501.646393,87302.875392,58271.568970,-0.249890,-0.827307,-0.442781
60392.660000,764481093.182605,-392929.976725,85872.500291,57505.916830,-0.245860,-0.828217,-0.443389
60392.680000,764482821.182605,-393351.339973,84440.565488,56739.221862,-0.241826,-0.829113,-0.443988
60392.700000,764484549.182605,-393765.728423,83007.096768,55971.497871,-0.237787,-0.829993,-0.444580
60392.720000,764486277.182604,-394173.134361,81572.119914,55202.758659,-0.233745,-0.830858,-0.445163
60392.740000,764488005.182604,-394573.550073,80135.660713,54433.018030,-0.229698,-0.831708,-0.445739
60392.760000,764489733.182604,-394966.967874,78697.744955,53662.289792,-0.225646,-0.832544,-0.446306
60392.780000,764491461.182603,-395353.380735,77258.398573,52890.587848,-0.221591,-0.833364,-0.446866
60392.800000,764493189.182603,-395732.782282,75817.647641,52117.926198,-0.217532,-0.834169,-0.447417
60392.820000,764494917.182603,-396105.166171,74375.518239,51344.318844,-0.213469,-0.834959,-0.447960
60392.840000,764496645.182603,-396470.526058,72932.036449,50569.779790,-0.209402,-0.835734,-0.448495
60392.860000,764498373.182602,-396828.855598,71487.228350,49794.323039,-0.205331,-0.836494,-0.449022
60392.880000,764500101.182602,-397180.148447,70041.120023,49017.962594,-0.201257,-0.837239,-0.449541
60392.900000,764501829.182602,-397524.398260,68593.737548,48240.712459,-0.197179,-0.837969,-0.450052
60392.920000,764503557.182601,-397861.598693,67145.107006,47462.586637,-0.193097,-0.838684,-0.450555
60392.940000,764505285.182601,-398191.743402,65695.254476,46683.599130,-0.189012,-0.839384,-0.451050
60392.960000,764507013.182601,-398514.826042,64244.206040,45903.763943,-0.184924,-0.840068,-0.451536
60392.980000,764508741.182601,-398830.840268,62791.987778,45123.095078,-0.180831,-0.840738,-0.452015
60393.000000,764510469.182600,-399139.779737,61338.625770,44341.606539,-0.176736,-0.841392,-0.452485
60393.020000,764512197.182600,-399441.638335,59884.146137,43559.312358,-0.172637,-0.842031,-0.452947
60393.040000,764513925.182600,-399736.410874,58428.575168,42776.226684,-0.168536,-0.842655,-0.453401
60393.060000,764515653.182599,-400024.092396,56971.939191,41992.363694,-0.164431,-0.843264,-0.453846
60393.080000,764517381.182599,-400304.677946,55514.264534,41207.737566,-0.160323,-0.843857,-0.454284
60393.100000,764519109.182599,-400578.162566,54055.577527,40422.362479,-0.156211,-0.844435,-0.454713
