# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60393.760000,764576133.182590,77587.844939,-0.000254,0.000125
60393.780000,764577861.182590,77721.410859,-0.000260,0.000126
60393.800000,764579589.182589,77853.938573,-0.000265,0.000128
60393.820000,764581317.182589,77985.427654,-0.000271,0.000129
60393.840000,764583045.182589,78115.877673,-0.000277,0.000131
60393.860000,764584773.182588,78245.288204,-0.000283,0.000132
60393.880000,764586501.182588,78373.658819,-0.000288,0.000134
60393.900000,764588229.182588,78500.989090,-0.000294,0.000135
60393.920000,764589957.182588,78627.278592,-0.000299,0.000137
60393.940000,764591685.182587,78752.526896,-0.000305,0.000138
60393.960000,764593413.182587,78876.733575,-0.000310,0.000140
60393.980000,764595141.182587,78999.898201,-0.000316,0.000141
60394.000000,764596869.182587,79122.020348,-0.000321,0.000142
60394.020000,764598597.182586,79243.099696,-0.000326,0.000143
60394.040000,764600325.182586,79363.136359,-0.000331,0.000145
60394.060000,764602053.182585,79482.130559,-0.000336,0.000146
60394.080000,764603781.182585,79600.082518,-0.000340,0.000147
60394.100000,764605509.182585,79716.992458,-0.000345,0.000148
60394.120000,764607237.182585,79832.860601,-0.000350,0.000149
60394.140000,764608965.182585,79947.687169,-0.000354,0.000150
60394.160000,764610693.182584,80061.472383,-0.000359,0.000151
60394.180000,764612421.182584,80174.216466,-0.000363,0.000152
60394.200000,764614149.182584,80285.919640,-0.000367,0.000153
60394.220000,764615877.182583,80396.582127,-0.000371,0.000154
60394.240000,764617605.182583,80506.204148,-0.000376,0.000155
60394.260000,764619333.182583,80614.785936,-0.000380,0.000156
60394.280000,764621061.182582,80722.327961,-0.000384,0.000157
60394.300000,764622789.182582,80828.830927,-0.000388,0.000157
60394.320000,764624517.182582,80934.295551,-0.000391,0.000158
60394.340000,764626245.182582,81038.722550,-0.000395,0.000159
60394.360000,764627973.182582,81142.112639,-0.000399,0.000160
60394.380000,764629701.182581,81244.466534,-0.000403,0.000161
60394.400000,764631429.182581,81345.784953,-0.000406,0.000162
60394.420000,764633157.182581,81446.068611,-0.000410,0.000163
60394.440000,764634885.182580,81545.318223,-0.000413,0.000164
60394.460000,764636613.182580,81643.534507,-0.000417,0.000165
60394.480000,764638341.182580,81740.718179,-0.000420,0.000166
60394.500000,764640069.182579,81836.869954,-0.000424,0.000167
60394.520000,764641797.182579,81931.990611,-0.000427,0.000167
60394.540000,764643525.182579,82026.081169,-0.000430,0.000168
60394.560000,764645253.182579,82119.142710,-0.000433,0.000169
60394.580000,764646981.182579,82211.176316,-0.000436,0.000170
60394.600000,764648709.182578,82302.183069,-0.000439,0.000171
60394.620000,764650437.182578,82392.164051,-0.000442,0.000172
60394.640000,764652165.182578,82481.120343,-0.000445,0.000173
60394.660000,764653893.182577,82569.053027,-0.000448,0.000174
60394.680000,764655621.182577,82655.963184,-0.000451,0.000175
60394.700000,764657349.182577,82741.851897,-0.000454,0.000176
60394.720000,764659077.182577,82826.720247,-0.000456,0.000177
60394.740000,764660805.182576,82910.569315,-0.000459,0.000178
60394.760000,764662533.182576,82993.400190,-0.000462,0.000179
60394.780000,764664261.182576,83075.214081,-0.000464,0.000180
60394.800000,764665989.182575,83156.012321,-0.000467,0.000181
60394.820000,764667717.182575,83235.796250,-0.000469,0.000182
60394.840000,764669445.182575,83314.567206,-0.000472,0.000184
60394.860000,764671173.182575,83392.326529,-0.000474,0.000185
60394.880000,764672901.182574,83469.075556,-0.000476,0.000186
60394.900000,764674629.182574,83544.815628,-0.000478,0.000187
60394.920000,764676357.182574,83619.548082,-0.000481,0.000188
60394.940000,764678085.182573,83693.274258,-0.000483,0.000189
60394.960000,764679813.182573,83765.995495,-0.000485,0.000191
60394.980000,764681541.182573,83837.713130,-0.000487,0.000192
60395.000000,764683269.182573,83908.428504,-0.000489,0.000193
60395.020000,764684997.182572,83978.142983,-0.000491,0.000194
60395.040000,764686725.182572,84046.858041,-0.000493,0.000196
60395.060000,764688453.182572,84114.575184,-0.000495,0.000197
60395.080000,764690181.182571,84181.295914,-0.000497,0.000198
60395.100000,764691909.182571,84247.021735,-0.000499,0.000200
60395.120000,764693637.182571,84311.754150,-0.000500,0.000201
60395.140000,764695365.182571,84375.494662,-0.000502,0.000202
60395.160000,764697093.182570,84438.244776,-0.000504,0.000204
60395.180000,764698821.182570,84500.005994,-0.000506,0.000205
60395.200000,764700549.182570,84560.779819,-0.000507,0.000207
60395.220000,764702277.182570,84620.567756,-0.000509,0.000208
60395.240000,764704005.182569,84679.371308,-0.000510,0.000209
60395.260000,764705733.182569,84737.191979,-0.000512,0.000211
60395.280000,764707461.182569,84794.031316,-0.000513,0.000212
60395.300000,764709189.182568,84849.890904,-0.000515,0.000214
60395.320000,764710917.182568,84904.772333,-0.000516,0.000216
60395.340000,764712645.182568,84958.677189,-0.000517,0.000217
60395.360000,764714373.182568,85011.607061,-0.000519,0.000219
60395.380000,764716101.182567,85063.563537,-0.000520,0.000220
60395.400000,764717829.182567,85114.548205,-0.000521,0.000222
60395.420000,764719557.182567,85164.562653,-0.000522,0.000224
60395.440000,764721285.182567,85213.608469,-0.000523,0.000225
60395.460000,764723013.182566,85261.687241,-0.000525,0.000227
60395.480000,764724741.182566,85308.800556,-0.000526,0.000229
60395.500000,764726469.182566,85354.950004,-0.000527,0.000231
60395.520000,764728197.182565,85400.137174,-0.000528,0.000232
60395.540000,764729925.182565,85444.363667,-0.000529,0.000234
60395.560000,764731653.182565,85487.631086,-0.000529,0.000236
60395.580000,764733381.182565,85529.941035,-0.000530,0.000238
60395.600000,764735109.182564,85571.295115,-0.000531,0.000240
60395.620000,764736837.182564,85611.694930,-0.000532,0.000242
60395.640000,764738565.182564,85651.142084,-0.000533,0.000243
60395.660000,764740293.182563,85689.638178,-0.000534,0.000245
60395.680000,764742021.182563,85727.184816,-0.000534,0.000247
60395.700000,764743749.182563,85763.783602,-0.000535,0.000249
60395.720000,764745477.182563,85799.436137,-0.000535,0.000251
60395.740000,764747205.182562,85834.144026,-0.000536,0.000253
60395.760000,764748933.182562,85867.908869,-0.000537,0.000255
60395.780000,764750661.182562,85900.732248,-0.000537,0.000257
60395.800000,764752389.182562,85932.615720,-0.000538,0.000259
60395.820000,764754117.182561,85963.560842,-0.000538,0.000261
60395.840000,764755845.182561,85993.569173,-0.000538,0.000263
60395.860000,764757573.182561,86022.642267,-0.000539,0.000266
60395.880000,764759301.182560,86050.781684,-0.000539,0.000268
60395.900000,764761029.182560,86077.988980,-0.000539,0.000270
60395.920000,764762757.182560,86104.265712,-0.000540,0.000272
60395.940000,764764485.182560,86129.613438,-0.000540,0.000274
60395.960000,764766213.182559,86154.033714,-0.000540,0.000276
60395.980000,764767941.182559,86177.528098,-0.000540,0.000279
60396.000000,764769669.182559,86200.098147,-0.000540,0.000281
60396.020000,764771397.182559,86221.745402,-0.000540,0.000283
60396.040000,764773125.182558,86242.471337,-0.000541,0.000285
60396.060000,764774853.182558,86262.277411,-0.000541,0.000288
60396.080000,764776581.182558,86281.165082,-0.000540,0.000290
60396.100000,764778309.182557,86299.135808,-0.000540,0.000292
60396.120000,764780037.182557,86316.191047,-0.000540,0.000295
60396.140000,764781765.182557,86332.332259,-0.000540,0.000297
60396.160000,764783493.182557,86347.560901,-0.000540,0.000299
60396.180000,764785221.182556,86361.878432,-0.000540,0.000302
60396.200000,764786949.182556,86375.286309,-0.000540,0.000304
60396.220000,764788677.182556,86387.785992,-0.000539,0.000306
60396.240000,764790405.182555,86399.378938,-0.000539,0.000309
60396.260000,764792133.182555,86410.066604,-0.000539,0.000311
60396.280000,764793861.182555,86419.850373,-0.000538,0.000314
60396.300000,764795589.182555,86428.731565,-0.000538,0.000316
60396.320000,764797317.182554,86436.711492,-0.000538,0.000319
60396.340000,764799045.182554,86443.791468,-0.000537,0.000321
60396.360000,764800773.182554,86449.972806,-0.000537,0.000324
60396.380000,764802501.182553,86455.256821,-0.000536,0.000326
60396.400000,764804229.182553,86459.644826,-0.000535,0.000329
60396.420000,764805957.182553,86463.138135,-0.000535,0.000331
60396.440000,764807685.182553,86465.738061,-0.000534,0.000334
60396.460000,764809413.182552,86467.445918,-0.000533,0.000336
60396.480000,764811141.182552,86468.263021,-0.000533,0.000339
60396.500000,764812869.182552,86468.190682,-0.000532,0.000342
60396.520000,764814597.182552,86467.230184,-0.000531,0.000344
60396.540000,764816325.182551,86465.382690,-0.000530,0.000347
60396.560000,764818053.182551,86462.649328,-0.000529,0.000349
60396.580000,764819781.182551,86459.031231,-0.000529,0.000352
60396.600000,764821509.182550,86454.529527,-0.000528,0.000355
60396.620000,764823237.182550,86449.145347,-0.000527,0.000357
60396.640000,764824965.182550,86442.879823,-0.000526,0.000360
60396.660000,764826693.182550,86435.734083,-0.000525,0.000363
60396.680000,764828421.182549,86427.709259,-0.000524,0.000365
60396.700000,764830149.182549,86418.806482,-0.000522,0.000368
60396.720000,764831877.182549,86409.026880,-0.000521,0.000371
60396.740000,764833605.182549,86398.371586,-0.000520,0.000373
60396.760000,764835333.182548,86386.841724,-0.000519,0.000376
60396.780000,764837061.182548,86374.438318,-0.000518,0.000379
60396.800000,764838789.182548,86361.162288,-0.000516,0.000381
60396.820000,764840517.182547,86347.014549,-0.000515,0.000384
60396.840000,764842245.182547,86331.996017,-0.000514,0.000387
60396.860000,764843973.182547,86316.107608,-0.000512,0.000390
60396.880000,764845701.182547,86299.350237,-0.000511,0.000392
60396.900000,764847429.182546,86281.724820,-0.000509,0.000395
60396.920000,764849157.182546,86263.232272,-0.000508,0.000398
60396.940000,764850885.182546,86243.873510,-0.000506,0.000400
60396.960000,764852613.182546,86223.649448,-0.000505,0.000403
60396.980000,764854341.182545,86202.561002,-0.000503,0.000406
60397.000000,764856069.182545,86180.609087,-0.000502,0.000409
60397.020000,764857797.182545,86157.794581,-0.000500,0.000411
60397.040000,764859525.182544,86134.118198,-0.000498,0.000414
60397.060000,764861253.182544,86109.580617,-0.000496,0.000417
60397.080000,764862981.182544,86084.182513,-0.000495,0.000420
60397.100000,764864709.182544,86057.924563,-0.000493,0.000422
60397.120000,764866437.182543,86030.807445,-0.000491,0.000425
60397.140000,764868165.182543,86002.831835,-0.000489,0.000428
60397.160000,764869893.182543,85973.998410,-0.000487,0.000431
60397.180000,764871621.182543,85944.307847,-0.000485,0.000433
60397.200000,764873349.182542,85913.760822,-0.000483,0.000436
60397.220000,764875077.182542,85882.358012,-0.000481,0.000439
60397.240000,764876805.182542,85850.100094,-0.000479,0.000442
60397.260000,764878533.182541,85816.987740,-0.000477,0.000444
60397.280000,764880261.182541,85783.021498,-0.000475,0.000447
60397.300000,764881989.182541,85748.201797,-0.000473,0.000450
60397.320000,764883717.182541,85712.529058,-0.000470,0.000453
60397.340000,764885445.182540,85676.003704,-0.000468,0.000455
60397.360000,764887173.182540,85638.626157,-0.000466,0.000458
60397.380000,764888901.182540,85600.396839,-0.000463,0.000461
60397.400000,764890629.182539,85561.316172,-0.000461,0.000463
60397.420000,764892357.182539,85521.384578,-0.000459,0.000466
60397.440000,764894085.182539,85480.602479,-0.000456,0.000469
60397.460000,764895813.182539,85438.970298,-0.000454,0.000472
60397.480000,764897541.182538,85396.488456,-0.000451,0.000474
60397.500000,764899269.182538,85353.157376,-0.000449,0.000477
60397.520000,764900997.182538,85308.977436,-0.000446,0.000480
60397.540000,764902725.182537,85263.948840,-0.000443,0.000482
60397.560000,764904453.182537,85218.071750,-0.000441,0.000485
60397.580000,764906181.182537,85171.346325,-0.000438,0.000487
60397.600000,764907909.182537,85123.772727,-0.000435,0.000490
60397.620000,764909637.182536,85075.351116,-0.000432,0.000493
60397.640000,764911365.182536,85026.081652,-0.000430,0.000495
60397.660000,764913093.182536,84975.964497,-0.000427,0.000498
60397.680000,764914821.182536,84924.999811,-0.000424,0.000500
60397.700000,764916549.182535,84873.187754,-0.000421,0.000503
60397.720000,764918277.182535,84820.528487,-0.000418,0.000506
60397.740000,764920005.182535,84767.022171,-0.000415,0.000508
60397.760000,764921733.182534,84712.668961,-0.000412,0.000511
60397.780000,764923461.182534,84657.468889,-0.000409,0.000513
60397.800000,764925189.182534,84601.421862,-0.000405,0.000516
60397.820000,764926917.182534,84544.527783,-0.000402,0.000518
60397.840000,764928645.182533,84486.786554,-0.000399,0.000521
60397.860000,764930373.182533,84428.198078,-0.000396,0.000523
60397.880000,764932101.182533,84368.762256,-0.000392,0.000525
60397.900000,764933829.182533,84308.478993,-0.000389,0.000528
60397.920000,764935557.182532,84247.348189,-0.000386,0.000530
60397.940000,764937285.182532,84185.369747,-0.000382,0.000533
60397.960000,764939013.182532,84122.543570,-0.000379,0.000535
60397.980000,764940741.182531,84058.869560,-0.000375,0.000537
60398.000000,764942469.182531,83994.347620,-0.000372,0.000540
60398.020000,764944197.182531,83928.977611,-0.000368,0.000542
60398.040000,764945925.182531,83862.759234,-0.000364,0.000544
60398.060000,764947653.182530,83795.692146,-0.000361,0.000546
60398.080000,764949381.182530,83727.776007,-0.000357,0.000549
60398.100000,764951109.182530,83659.010477,-0.000353,0.000551
60398.120000,764952837.182529,83589.395214,-0.000349,0.000553
60398.140000,764954565.182529,83518.929878,-0.000346,0.000555
60398.160000,764956293.182529,83447.614126,-0.000342,0.000557
60398.180000,764958021.182529,83375.447620,-0.000338,0.000559
60398.200000,764959749.182528,83302.430017,-0.000334,0.000561
60398.220000,764961477.182528,83228.560976,-0.000330,0.000563
60398.240000,764963205.182528,83153.840157,-0.000326,0.000565
60398.260000,764964933.182528,83078.267215,-0.000322,0.000567
60398.280000,764966661.182527,83001.841700,-0.000317,0.000569
60398.300000,764968389.182527,82924.563062,-0.000313,0.000571
60398.320000,764970117.182527,82846.430744,-0.000309,0.000573
60398.340000,764971845.182527,82767.444191,-0.000305,0.000575
60398.360000,764973573.182526,82687.602846,-0.000300,0.000576
60398.380000,764975301.182526,82606.906153,-0.000296,0.000578
60398.400000,764977029.182526,82525.353557,-0.000291,0.000580
60398.420000,764978757.182525,82442.944501,-0.000287,0.000582
60398.440000,764980485.182525,82359.678429,-0.000282,0.000583
