# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60392.600000,764475909.182606,148902964.293328,7429888.183080,3220051.516525,-1.136290,27.383829,11.869520
60392.620000,764477637.182606,148900991.929900,7477206.985410,3240561.846959,-1.146538,27.383303,11.869289
60392.640000,764479365.182605,148899001.858817,7524524.874996,3261071.777318,-1.156785,27.382773,11.869056
60392.660000,764481093.182605,148896994.080715,7571841.846510,3281581.305327,-1.167032,27.382240,11.868823
60392.680000,764482821.182605,148894968.596225,7619157.894625,3302090.428708,-1.177279,27.381704,11.868588
60392.700000,764484549.182605,148892925.405982,7666473.014013,3322599.145183,-1.187525,27.381165,11.868352
60392.720000,764486277.182604,148890864.510617,7713787.199347,3343107.452476,-1.197771,27.380623,11.868115
60392.740000,764488005.182604,148888785.910765,7761100.445299,3363615.348307,-1.208016,27.380078,11.867876
60392.760000,764489733.182604,148886689.607058,7808412.746543,3384122.830401,-1.218261,27.379530,11.867636
60392.780000,764491461.182603,148884575.600135,7855724.097754,3404629.896481,-1.228506,27.378978,11.867394
60392.800000,764493189.182603,148882443.890638,7903034.493614,3425136.544275,-1.238750,27.378424,11.867152
60392.820000,764494917.182603,148880294.479211,7950343.928800,3445642.771508,-1.248994,27.377866,11.866908
60392.840000,764496645.182603,148878127.366496,7997652.397994,3466148.575908,-1.259238,27.377306,11.866662
60392.860000,764498373.182602,148875942.553138,8044959.895876,3486653.955201,-1.269481,27.376742,11.866416
60392.880000,764500101.182602,148873740.039778,8092266.417125,3507158.907114,-1.279724,27.376175,11.866168
60392.900000,764501829.182602,148871519.827060,8139571.956422,3527663.429373,-1.289967,27.375606,11.865918
60392.920000,764503557.182601,148869281.915627,8186876.508446,3548167.519705,-1.300209,27.375033,11.865668
60392.940000,764505285.182601,148867026.306122,8234180.067878,3568671.175837,-1.310450,27.374457,11.865416
60392.960000,764507013.182601,148864752.999188,8281482.629397,3589174.395495,-1.320692,27.373878,11.865162
60392.980000,764508741.182601,148862461.995468,8328784.187684,3609677.176406,-1.330933,27.373296,11.864908
60393.000000,764510469.182600,148860153.295606,8376084.737418,3630179.516297,-1.341173,27.372710,11.864652
60393.020000,764512197.182600,148857826.900245,8423384.273282,3650681.412894,-1.351414,27.372122,11.864395
60393.040000,764513925.182600,148855482.810038,8470682.789959,3671182.863928,-1.361654,27.371531,11.864136
60393.060000,764515653.182599,148853121.025637,8517980.282139,3691683.867129,-1.371893,27.370936,11.863876
60393.080000,764517381.182599,148850741.547694,8565276.744506,3712184.420227,-1.382132,27.370339,11.863615
60393.100000,764519109.182599,148848344.376863,8612572.171749,3732684.520953,-1.392371,27.369738,11.863353
60393.120000,764520837.182599,148845929.513796,8659866.558554,3753184.167038,-1.402609,27.369135,11.863089
60393.140000,764522565.182598,148843496.959147,8707159.899608,3773683.356211,-1.412847,27.368528,11.862824
60393.160000,764524293.182598,148841046.713567,8754452.189598,3794182.086204,-1.423085,27.367918,11.862558
60393.180000,764526021.182598,148838578.777710,8801743.423212,3814680.354746,-1.433322,27.367305,11.862290
60393.200000,764527749.182598,148836093.152228,8849033.595135,3835178.159569,-1.443559,27.366689,11.862021
60393.220000,764529477.182597,148833589.837775,8896322.700055,3855675.498402,-1.453796,27.366070,11.861751
60393.240000,764531205.182597,148831068.835002,8943610.732659,3876172.368976,-1.464032,27.365448,11.861479
60393.260000,764532933.182597,148828530.144564,8990897.687634,3896668.769022,-1.474267,27.364823,11.861206
60393.280000,764534661.182596,148825973.767117,9038183.559670,3917164.696271,-1.484503,27.364195,11.860932
60393.300000,764536389.182596,148823399.703324,9085468.343460,3937660.148458,-1.494738,27.363564,11.860656
60393.320000,764538117.182596,148820807.953847,9132752.033698,3958155.123317,-1.504972,27.362929,11.860379
60393.340000,764539845.182596,148818198.519348,9180034.625077,3978649.618581,-1.515206,27.362292,11.860101
60393.360000,764541573.182595,148815571.400489,9227316.112290,3999143.631985,-1.525440,27.361651,11.859822
60393.380000,764543301.182595,148812926.597933,9274596.490031,4019637.161263,-1.535674,27.361008,11.859541
60393.400000,764545029.182595,148810264.112341,9321875.752993,4040130.204148,-1.545907,27.360361,11.859259
60393.420000,764546757.182595,148807583.944377,9369153.895869,4060622.758374,-1.556139,27.359711,11.858975
60393.440000,764548485.182594,148804886.094703,9416430.913354,4081114.821677,-1.566372,27.359058,11.858690
60393.460000,764550213.182594,148802170.563980,9463706.800139,4101606.391789,-1.576604,27.358403,11.858404
60393.480000,764551941.182594,148799437.352871,9510981.550919,4122097.466444,-1.586835,27.357744,11.858117
60393.500000,764553669.182593,148796686.462039,9558255.160388,4142588.043377,-1.597066,27.357082,11.857828
