# epoch (MJD),epoch (seconds TDB),r [km],alpha [deg],beta [deg]
60394.220000,764615877.182583,149651869.812369,46.733072,-0.004633
60394.240000,764617605.182583,149652691.088639,46.834250,-0.004643
60394.260000,764619333.182583,149653506.565917,46.934115,-0.004653
60394.280000,764621061.182582,149654316.254347,47.032670,-0.004663
60394.300000,764622789.182582,149655120.163608,47.129919,-0.004672
60394.320000,764624517.182582,149655918.303359,47.225868,-0.004682
60394.340000,764626245.182582,149656710.683258,47.320520,-0.004691
60394.360000,764627973.182582,149657497.312965,47.413881,-0.004700
60394.380000,764629701.182581,149658278.202138,47.505953,-0.004710
60394.400000,764631429.182581,149659053.360435,47.596742,-0.004719
60394.420000,764633157.182581,149659822.797517,47.686252,-0.004727
60394.440000,764634885.182580,149660586.523041,47.774488,-0.004736
60394.460000,764636613.182580,149661344.546667,47.861453,-0.004745
60394.480000,764638341.182580,149662096.878053,47.947152,-0.004753
60394.500000,764640069.182579,149662843.526858,48.031590,-0.004762
60394.520000,764641797.182579,149663584.502596,48.114771,-0.004770
60394.540000,764643525.182579,149664319.814199,48.196698,-0.004779
60394.560000,764645253.182579,149665049.470454,48.277376,-0.004787
60394.580000,764646981.182579,149665773.480147,48.356808,-0.004795
60394.600000,764648709.182578,149666491.852067,48.434998,-0.004803
60394.620000,764650437.182578,149667204.595000,48.511951,-0.004811
60394.640000,764652165.182578,149667911.717732,48.587670,-0.004818
60394.660000,764653893.182577,149668613.229052,48.662158,-0.004826
60394.680000,764655621.182577,149669309.137746,48.735420,-0.004834
60394.700000,764657349.182577,149669999.452601,48.807460,-0.004841
60394.720000,764659077.182577,149670684.182404,48.878281,-0.004848
60394.740000,764660805.182576,149671363.335943,48.947888,-0.004856
60394.760000,764662533.182576,149672036.921987,49.016284,-0.004863
60394.780000,764664261.182576,149672704.948927,49.083472,-0.004870
60394.800000,764665989.182575,149673367.424773,49.149457,-0.004877
60394.820000,764667717.182575,149674024.357518,49.214242,-0.004884
60394.840000,764669445.182575,149674675.755157,49.277829,-0.004891
60394.860000,764671173.182575,149675321.625683,49.340223,-0.004898
60394.880000,764672901.182574,149675961.977089,49.401427,-0.004905
60394.900000,764674629.182574,149676596.817369,49.461444,-0.004911
60394.920000,764676357.182574,149677226.154516,49.520277,-0.004918
60394.940000,764678085.182573,149677849.996524,49.577931,-0.004924
60394.960000,764679813.182573,149678468.351388,49.634408,-0.004931
60394.980000,764681541.182573,149679081.227099,49.689712,-0.004937
60395.000000,764683269.182573,149679688.631652,49.743847,-0.004943
60395.020000,764684997.182572,149680290.572919,49.796815,-0.004950
60395.040000,764686725.182572,149680887.058284,49.848619,-0.004956
60395.060000,764688453.182572,149681478.095012,49.899264,-0.004962
60395.080000,764690181.182571,149682063.690365,49.948751,-0.004968
60395.100000,764691909.182571,149682643.851607,49.997084,-0.004974
60395.120000,764693637.182571,149683218.586001,50.044265,-0.004980
