# epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
60392.460000,764463813.182608,-443260.610720,76363.360824,35455.148961,-0.285754,-0.828745,-0.683827
60392.480000,764465541.182608,-443750.182584,74931.361590,34273.983794,-0.280885,-0.828661,-0.683255
60392.500000,764467269.182607,-444231.354038,73499.511711,33093.821415,-0.276030,-0.828572,-0.682669
60392.520000,764468997.182607,-444704.148562,72067.821767,31914.686774,-0.271187,-0.828476,-0.682069
60392.540000,764470725.182607,-445168.588148,70636.302419,30736.602289,-0.266358,-0.828374,-0.681456
60392.560000,764472453.182606,-445624.694411,69204.964349,29559.589745,-0.261542,-0.828266,-0.680830
60392.580000,764474181.182606,-446072.488969,67773.818239,28383.670925,-0.256738,-0.828152,-0.680190
60392.600000,764475909.182606,-446511.993439,66342.874771,27208.867614,-0.251947,-0.828032,-0.679538
60392.620000,764477637.182606,-446943.229439,64912.144626,26035.201595,-0.247169,-0.827905,-0.678872
60392.640000,764479365.182605,-447366.218585,63481.638487,24862.694651,-0.242404,-0.827772,-0.678194
60392.660000,764481093.182605,-447780.982494,62051.367036,23691.368568,-0.237651,-0.827634,-0.677504
60392.680000,764482821.182605,-448187.542784,60621.340953,22521.245129,-0.232910,-0.827488,-0.676801
60392.700000,764484549.182605,-448585.921072,59191.570922,21352.346118,-0.228181,-0.827337,-0.676085
60392.720000,764486277.182604,-448976.138975,57762.067625,20184.693318,-0.223465,-0.827180,-0.675358
60392.740000,764488005.182604,-449358.218109,56332.841742,19018.308515,-0.218760,-0.827016,-0.674619
60392.760000,764489733.182604,-449732.180052,54903.903960,17853.213431,-0.214068,-0.826846,-0.673868
60392.780000,764491461.182603,-450098.045441,53475.265057,16689.428419,-0.209388,-0.826670,-0.673105
60392.800000,764493189.182603,-450455.833974,52046.935901,15526.972456,-0.204719,-0.826488,-0.672331
60392.820000,764494917.182603,-450805.565309,50618.927367,14365.864460,-0.200062,-0.826299,-0.671546
60392.840000,764496645.182603,-451147.259104,49191.250326,13206.123349,-0.195417,-0.826104,-0.670749
60392.860000,764498373.182602,-451480.935017,47763.915653,12047.768042,-0.190783,-0.825903,-0.669941
60392.880000,764500101.182602,-451806.612705,46336.934220,10890.817457,-0.186160,-0.825695,-0.669122
60392.900000,764501829.182602,-452124.311827,44910.316902,9735.290512,-0.181549,-0.825481,-0.668292
60392.920000,764503557.182601,-452434.052040,43484.074570,8581.206124,-0.176950,-0.825261,-0.667451
60392.940000,764505285.182601,-452735.853003,42058.218098,7428.583213,-0.172361,-0.825035,-0.666599
60392.960000,764507013.182601,-453029.734372,40632.758360,6277.440696,-0.167784,-0.824802,-0.665737
60392.980000,764508741.182601,-453315.715805,39207.706228,5127.797492,-0.163217,-0.824563,-0.664864
60393.000000,764510469.182600,-453593.816961,37783.072576,3979.672518,-0.158662,-0.824318,-0.663981
60393.020000,764512197.182600,-453864.057218,36358.868309,2833.084330,-0.154117,-0.824066,-0.663088
